name,birthday,nationality
Leonardo DiCaprio,1974-11-11,USA
Meryl Streep,1949-06-22,USA
Denzel Washington,1954-12-28,USA
Tom Hanks,1956-07-09,USA
Natalie Portman,1981-06-09,USA
Brad Pitt,1963-12-18,USA
Scarlett Johansson,1984-11-22,USA
Joaquin Phoenix,1974-10-28,USA
Morgan Freeman,1937-06-01,USA
Robert De Niro,1943-08-17,USA
Jennifer Lawrence,1990-08-15,USA
Wagner Moura,1976-06-27,BR
Sônia Braga,1950-06-08,BR
Rodrigo Santoro,1975-08-22,BR
Fernanda Montenegro,1929-10-16,BR
Selton Mello,1972-12-30,BR
Lázaro Ramos,1978-11-01,BR
Taís Araújo,1978-11-25,BR
Paulo Gustavo,1978-10-30,BR
Marjorie Estiano,1982-03-08,BR
